Player,Year,height,weight,hand,arm,forty,ten_split,vertical,broad,cone,shuttle,bench,bmi,speed_score,burst_score,agility_score,n_drills,elite_forty,elite_burst,elite_agility,big_bodied,pick,undrafted,log_pick,round,nfl_entry_age,has_college,best_dom,final_dom,first_dom,best_ydshare,final_ydshare,career_yds,best_yds,career_rec,career_ypr,best_long,td_rate,rush_yds_career,n_seasons,n_seasons_20,n_seasons_30,alpha,final_rank,dom_growth,final_spike,college_entry_age,breakout_age,dom_age19,dom_age20,age_final_season,early_declare,best_ppa,final_ppa,avg_ppa,best_ppa_pass,best_usage,final_usage,team_sp_off,team_sp_overall,team_sp_def,team_sos,team_sp_off_final,team_recruit_rank,power5,conf_g5,n_teams,col_qb_ypa,col_qb_td,col_qb_drafted,was_returner,transferred,recruit_stars,recruit_rating,recruit_rank,blue_chip,ret_yds,ret_td,ret_avg,height_p,weight_p,hand_p,arm_p,forty_p,ten_split_p,vertical_p,broad_p,cone_p,shuttle_p,speed_score_p,burst_score_p,ras,explosion_p,catch_radius,prod_p,recruit_p,prod_over_recruit
Ja'Marr Chase,2021,72.38,201.0,9.625,30.75,4.34,,41.0,132.0,6.96,3.99,,26.97206669445386,113.30971182645204,52.0,10.95,7,1,1,0,0,5.0,0,1.6094379124341003,1.0,20.83778234086242,1,0.3116767901073302,0.3116767901073302,0.1409288968112497,0.2954847277556441,0.2954847277556441,2093.0,1780.0,107.0,19.560747663551403,78.0,0.21495327102803738,5.0,2.0,1.0,1.0,1.0,1.0,0.17074789329608048,5.686900958466453,18.0,19.62217659137577,0.1409288968112497,0.3116767901073302,19.62217659137577,1.0,1.06,1.06,0.881,1.09,0.117,0.117,48.9,33.1,17.7,,48.9,15.0,1.0,0.0,1.0,10.8,60.0,1.0,0.0,0.0,4.0,0.9589,84.0,1.0,,,,0.40569395017793597,0.49377224199288255,0.6592592592592592,0.22592592592592592,0.946911196911197,,0.9456740442655935,0.9193877551020408,0.5653950953678474,0.9896373056994818,0.9514563106796117,0.9512448132780082,73.22143544236167,0.9388393700157488,0.5591382949071786,0.5187165775401069,0.8089171974522293,-0.2902006199121224
D.J. Moore,2018,72.0,210.0,9.63,31.63,4.42,1.53,39.5,132.0,6.95,4.07,15.0,28.47800925925926,110.04244036771127,50.5,11.02,8,1,1,0,0,24.0,0,3.1780538303479458,1.0,20.71731690622861,1,0.5329037800687285,0.5329037800687285,0.1853250478011472,0.5324742268041237,0.5324742268041237,2027.0,1033.0,146.0,13.883561643835616,92.0,0.11643835616438356,125.0,3.0,2.0,2.0,1.0,1.0,0.3475787322675813,1.6216640502354789,18.0,19.50444900752909,0.1853250478011472,0.3374622356495468,20.503764544832308,1.0,0.466,0.466,0.4116666666666667,0.437,0.173,0.173,26.7,-4.5,28.3,0.781,26.7,41.0,1.0,0.0,1.0,5.6,10.0,0.0,1.0,0.0,3.0,0.89,352.0,0.0,487.0,0.0,16.233333333333334,0.34341637010676157,0.7402135231316725,0.687037037037037,0.4601851851851852,0.7847490347490348,0.616710875331565,0.8832997987927566,0.9193877551020408,0.5858310626702997,0.9378238341968912,0.887378640776699,0.8941908713692946,72.83519990374364,0.8966887315571656,0.593484597780435,0.9732620320855615,0.5286624203821656,0.4445996117033959
Amari Cooper,2015,72.88,211.0,10.0,31.5,4.42,1.61,33.0,120.0,6.71,3.98,,27.926792128407403,110.5664519885099,43.0,10.69,7,1,0,1,0,4.0,0,1.3862943611198906,1.0,20.542094455852155,1,0.4719794344473008,0.4719794344473008,0.3412463535280937,0.4439588688946015,0.4439588688946015,3463.0,1727.0,228.0,15.18859649122807,99.0,0.13596491228070176,51.0,3.0,2.0,2.0,1.0,1.0,0.1307330809192071,1.727,18.0,18.32991101984942,0.3412463535280937,0.4719794344473008,20.32854209445585,1.0,0.907,0.769,0.8380000000000001,0.885,0.17,0.17,44.5,34.3,10.7,0.793,44.5,1.0,1.0,0.0,1.0,8.9,28.0,0.0,0.0,0.0,4.0,0.9776,45.0,1.0,,,,0.46174377224199287,0.7588967971530249,0.8787037037037037,0.41944444444444445,0.7847490347490348,0.05702917771883289,0.20020120724346077,0.29183673469387755,0.9168937329700273,0.9935233160621761,0.8970873786407767,0.2053941908713693,57.21252908743934,0.46304177352603837,0.49002328190840044,0.946524064171123,0.8906581740976646,0.055865890073458435
John Ross,2017,70.75,188.0,8.75,31.5,4.22,1.46,37.0,133.0,,4.33,,26.403426188365444,118.55995917251086,48.083333333333336,,6,1,1,0,0,9.0,0,2.1972245773362196,1.0,21.097878165639973,1,0.3395593166589343,0.3395593166589343,0.0507328605200945,0.3174165056582942,0.3174165056582942,1729.0,1150.0,114.0,15.166666666666666,91.0,0.19298245614035087,195.0,3.0,1.0,1.0,1.0,1.0,0.2888264561388398,3.0997304582210243,17.0,20.88432580424367,0.1714895056276893,0.1714895056276893,20.88432580424367,1.0,0.643,0.599,0.622,0.846,0.139,0.139,40.2,26.7,13.9,0.874,40.2,26.0,1.0,0.0,1.0,8.8,43.0,0.0,1.0,0.0,4.0,0.9032,277.0,1.0,2090.0,4.0,23.22222222222222,0.18861209964412812,0.21352313167259787,0.09166666666666666,0.41944444444444445,0.9980694980694981,0.980106100795756,0.6891348088531187,0.9418367346938775,,0.344559585492228,0.9805825242718447,0.7448132780082988,59.93044429647691,0.8705180226062804,0.3472145049020895,0.661319073083779,0.5828025477707006,0.0785165253130784
N'Keal Harry,2019,74.88,228.0,9.5,33.0,4.53,1.55,38.5,122.0,7.05,4.28,27.0,28.586336428884508,108.28593095867697,48.666666666666664,11.33,8,0,1,0,1,32.0,0,3.4657359027997265,1.0,21.0403832991102,1,0.4047158903204493,0.4047158903204493,0.2621644969463195,0.3594317806408986,0.3594317806408986,2889.0,1142.0,213.0,13.56338028169014,70.0,0.10328638497652583,144.0,3.0,3.0,2.0,1.0,1.0,0.1425513933741298,0.9527145359019265,18.0,18.82819986310746,0.2621644969463195,0.3622571772391266,20.826830937713893,1.0,0.757,0.699,0.657,0.801,0.138,0.138,33.9,1.0,33.1,0.873,33.9,24.0,1.0,0.0,1.0,8.0,20.0,0.0,1.0,0.0,4.0,0.9735,53.0,1.0,165.0,1.0,11.785714285714286,0.8051601423487544,0.9813167259786477,0.5944444444444444,0.850925925925926,0.4092664092664093,0.39389920424403185,0.8118712273641852,0.4204081632653061,0.3787465940054496,0.47020725388601037,0.8601941747572815,0.7842323651452282,64.67227192193063,0.6974911884622577,0.7656004350208275,0.857397504456328,0.881104033970276,-0.023706529513948027
DeVante Parker,2015,74.63,209.0,9.25,33.25,4.45,1.51,36.5,125.0,,,17.0,26.379996153788774,106.59485369673038,46.916666666666664,,6,1,0,0,0,14.0,0,2.6390573296152584,1.0,21.946611909650922,1,0.290220925571244,0.2479291384929009,0.2108230744194061,0.2577630388905638,0.2577630388905638,2775.0,885.0,156.0,17.78846153846154,75.0,0.21153846153846154,0.0,4.0,4.0,0.0,1.0,1.0,0.037106064073494816,0.9661016949152542,18.0,18.732375085557837,0.2108230744194061,0.2818336653098929,21.73305954825462,0.0,1.116,0.901,1.0085000000000002,1.116,0.157,0.157,39.1,24.2,15.2,0.958,34.0,45.0,0.0,1.0,1.0,9.3,31.0,1.0,0.0,0.0,3.0,0.8894,309.0,0.0,,,,0.7677935943060499,0.7170818505338078,0.40555555555555556,0.8888888888888888,0.668918918918919,0.8143236074270557,0.6247484909456741,0.6551020408163265,,,0.8262135922330097,0.6358921161825726,70.04518655807858,0.7020213746650034,0.6717466324240421,0.4474153297682709,0.5626326963906582,-0.11521736662238724
Jalen Reagor,2020,70.63,206.0,9.5,31.38,4.47,1.52,42.0,138.0,7.31,4.46,17.0,29.029805956059512,103.19701217499924,53.5,11.77,8,0,1,0,0,21.0,0,3.044522437723423,1.0,20.996577686516083,1,0.4611211176031279,0.2916666666666666,0.226797684973144,0.3928304705003734,0.25,2239.0,1052.0,147.0,15.231292517006803,93.0,0.14965986394557823,332.0,3.0,3.0,1.0,1.0,1.0,0.06486898169352256,0.5807984790874525,18.0,18.784394250513348,0.226797684973144,0.4611211176031279,20.78302532511978,1.0,0.769,0.299,0.482,0.83,0.15,0.099,25.7,6.9,16.9,0.865,28.8,28.0,1.0,0.0,1.0,6.5,9.0,0.0,1.0,0.0,4.0,0.9566,96.0,1.0,724.0,2.0,19.05263157894737,0.17704626334519574,0.6548042704626335,0.5944444444444444,0.38333333333333336,0.6023166023166023,0.7320954907161804,0.9728370221327968,0.9918367346938776,0.07493188010899182,0.12435233160621761,0.7165048543689321,0.9875518672199171,58.433792456242685,0.8937262037318687,0.5319152658139426,0.928698752228164,0.7823779193205945,0.14632083290756948
Phillip Dorsett,2015,69.75,185.0,9.38,30.25,4.33,1.54,37.0,122.0,6.85,4.11,13.0,26.732441772330777,105.2567942126949,47.166666666666664,10.96,8,1,1,1,0,29.0,0,3.367295829986474,1.0,21.987679671457904,1,0.3713870610663551,0.3713870610663551,0.0502009062152688,0.307991513437058,0.307991513437058,2132.0,871.0,121.0,17.619834710743802,79.0,0.14049586776859505,2.0,4.0,2.0,1.0,1.0,1.0,0.3211861548510863,1.0344418052256532,18.0,19.77549623545517,0.0502009062152688,0.2175637238814134,21.7741273100616,0.0,1.384,0.919,1.1515,1.384,0.084,0.084,35.0,13.9,21.3,0.86,35.0,14.0,1.0,0.0,1.0,8.5,26.0,1.0,1.0,0.0,3.0,0.8761,391.0,0.0,613.0,0.0,10.389830508474576,0.09786476868327403,0.1619217081850534,0.5064814814814815,0.1259259259259259,0.9584942084942085,0.4946949602122016,0.6891348088531187,0.4204081632653061,0.7534059945504087,0.8937823834196891,0.7864077669902912,0.6659751037344398,54.620810614961655,0.6319835797029053,0.35485174623595006,0.7700534759358288,0.5042462845010616,0.2658071914347673
CeeDee Lamb,2020,74.0,198.0,,,4.5,,34.5,124.0,,,11.0,25.41891891891892,96.57064471879286,44.833333333333336,,4,0,0,0,0,17.0,0,2.833213344056216,1.0,20.733744010951405,1,0.353786423310919,0.353786423310919,0.1541324483837768,0.3186839577329491,0.3186839577329491,3289.0,1327.0,172.0,19.122093023255815,86.0,0.18604651162790697,20.0,3.0,2.0,1.0,1.0,1.0,0.19965397492714218,1.148917748917749,18.0,19.520876112251884,0.1541324483837768,0.2555877196139627,20.520191649555098,1.0,1.118,1.013,1.0533333333333335,1.144,0.116,0.116,46.1,22.9,24.9,,46.1,9.0,1.0,0.0,1.0,11.3,32.0,1.0,1.0,0.0,4.0,0.9358,148.0,1.0,475.0,0.0,8.482142857142858,0.6708185053380783,0.4225978647686833,,,0.5057915057915058,,0.35714285714285715,0.573469387755102,,,0.458252427184466,0.3921161825726141,48.28841043647581,0.4629548906941417,0.5139806812404677,0.7005347593582888,0.7123142250530785,-0.011779465694789715
Skyy Moore,2022,69.63,195.0,10.25,31.0,4.41,1.46,34.5,125.0,7.13,4.32,,28.274644033091022,103.1122465590578,44.916666666666664,11.45,7,1,0,0,0,54.0,0,3.9889840465642745,2.0,21.308692676249144,1,0.4133270034682386,0.4133270034682386,0.1996255023748629,0.391871398240825,0.391871398240825,2483.0,1292.0,170.0,14.605882352941176,74.0,0.09411764705882353,12.0,3.0,1.0,1.0,1.0,1.0,0.21370150109337568,1.6109725685785536,18.0,21.09514031485284,0.1996255023748629,0.1996255023748629,21.09514031485284,1.0,1.045,1.045,0.7636666666666666,1.05,0.119,0.119,33.1,0.6,29.0,,33.1,86.0,0.0,1.0,1.0,9.1,23.0,0.0,1.0,0.0,,,,,21.0,0.0,5.25,0.09074733096085409,0.3540925266903915,0.9537037037037037,0.275,0.8175675675675675,0.980106100795756,0.35714285714285715,0.6551020408163265,0.2561307901907357,0.37823834196891193,0.7106796116504854,0.4066390041493776,51.95958229697473,0.5743081698698896,0.41914847295185376,0.8680926916221033,,
Elijah Moore,2021,69.5,178.0,9.375,30.125,4.35,,36.0,121.0,6.67,4.0,17.0,25.906319548677605,99.4243980176493,46.083333333333336,10.67,8,1,0,1,0,34.0,0,3.5263605246161616,2.0,20.76659822039699,1,0.4552874101843174,0.3062318840579709,0.0928580709428732,0.3651202749140893,0.3457971014492753,2441.0,1193.0,189.0,12.915343915343914,91.0,0.08465608465608465,71.0,3.0,2.0,2.0,1.0,1.0,0.21337381311509773,1.403529411764706,18.0,19.550992470910334,0.0928580709428732,0.4552874101843174,20.553045859000683,1.0,0.773,0.474,0.4718,0.878,0.176,0.024,38.1,4.8,33.2,,38.1,22.0,1.0,0.0,1.0,10.3,29.0,1.0,1.0,0.0,4.0,0.9205,203.0,1.0,353.0,0.0,9.051282051282051,0.08362989323843416,0.06850533807829182,0.47129629629629627,0.10462962962962963,0.9343629343629344,,0.5543259557344065,0.35612244897959183,0.944141689373297,0.9844559585492227,0.5766990291262136,0.5228215767634855,50.91809772847095,0.49571581128007064,0.3034704437246916,0.9233511586452763,0.6464968152866242,0.2768543433586521
Devin Funchess,2015,76.25,232.0,9.75,33.5,4.7,1.66,38.5,122.0,6.98,4.48,17.0,28.051986025262025,95.08818301852108,48.666666666666664,11.46,8,0,1,0,1,41.0,0,3.713572066704308,2.0,20.61601642710472,1,0.3794809010773751,0.3794809010773751,0.1701563103049015,0.3589618021547502,0.3589618021547502,1715.0,748.0,126.0,13.61111111111111,59.0,0.11904761904761904,23.0,3.0,2.0,1.0,1.0,1.0,0.2093245907724736,0.9799465240641712,18.0,19.4031485284052,0.2589701512396327,0.3794809010773751,20.40246406570842,1.0,0.878,0.354,0.616,0.981,0.146,0.146,31.2,11.1,20.2,0.872,27.0,6.0,1.0,0.0,1.0,8.6,21.0,0.0,0.0,0.0,,,,,,,,0.952846975088968,0.9928825622775801,0.7546296296296297,0.9268518518518518,0.04343629343629344,0.014588859416445624,0.8118712273641852,0.4204081632653061,0.5190735694822888,0.10362694300518134,0.3941747572815534,0.7842323651452282,55.988526643704276,0.5421513826370149,0.8615499209836587,0.8021390374331551,,
Tre'Quan Smith,2018,73.75,203.0,9.5,33.375,4.49,,37.5,130.0,6.97,4.5,12.0,26.237793737431772,99.89429116969761,48.333333333333336,11.469999999999999,8,0,1,0,0,91.0,0,4.51085950651685,3.0,21.984941820670773,1,0.3350277748663662,0.3068050081150011,0.3150215768203301,0.3223508459483526,0.2715047530721076,2748.0,1171.0,168.0,16.357142857142858,79.0,0.13095238095238096,23.0,3.0,3.0,3.0,1.0,1.0,-0.008216568705328997,1.372801875732708,19.0,19.770020533880903,0.0,0.3150215768203301,21.77138945927447,1.0,1.087,1.087,0.7133333333333333,1.108,0.112,0.092,40.5,14.1,26.9,0.953,40.5,65.0,0.0,1.0,1.0,10.2,37.0,0.0,0.0,0.0,,,,,,,,0.6174377224199288,0.552491103202847,0.5944444444444444,0.8981481481481481,0.5395752895752896,,0.7354124748490946,0.8714285714285714,0.5422343324250681,0.08937823834196891,0.596116504854369,0.7634854771784232,61.819566426074125,0.7343191837106783,0.711360697465404,0.64349376114082,,
Chris Godwin,2017,73.0,209.0,9.13,31.625,4.42,,36.0,125.0,7.01,4.0,19.0,27.571214111465565,109.51842874691265,46.416666666666664,11.01,8,1,0,0,0,84.0,0,4.430816798843313,3.0,20.84599589322382,1,0.3241757203589985,0.3241757203589985,0.1326251204299984,0.3949067431850789,0.269041095890411,2421.0,1101.0,154.0,15.720779220779221,72.0,0.11688311688311688,14.0,3.0,2.0,2.0,1.0,1.0,0.1915505999290001,0.8919164396003633,18.0,19.630390143737166,0.1326251204299984,0.3224533715925394,20.632443531827516,1.0,0.796,0.796,0.6316666666666667,0.784,0.13,0.105,28.4,11.3,19.0,0.865,38.0,24.0,1.0,0.0,1.0,7.0,16.0,1.0,0.0,0.0,4.0,0.9293,173.0,1.0,,,,0.4893238434163701,0.7170818505338078,0.31574074074074077,0.4462962962962963,0.7847490347490348,,0.5543259557344065,0.6551020408163265,0.44550408719346046,0.9844559585492227,0.8776699029126214,0.5663900414937759,62.15127047669148,0.6956992998211181,0.4514217090469534,0.5828877005347594,0.6815286624203821,-0.09864096188562277
Tyler Boyd,2016,73.5,197.0,9.75,32.0,4.58,1.56,34.0,119.0,6.9,4.35,11.0,25.635799898190566,89.5435503285939,43.916666666666664,11.25,8,0,0,1,0,55.0,0,4.007333185232471,2.0,21.127994524298426,1,0.496154688602789,0.3297013720742534,0.3576230752548254,0.5217211419114605,0.3736884584342211,3361.0,1261.0,254.0,13.23228346456693,69.0,0.08267716535433071,520.0,3.0,3.0,3.0,1.0,1.0,-0.02792170318057202,0.7343378271213322,18.0,18.915811088295687,0.3576230752548254,0.496154688602789,20.914442162902123,1.0,0.907,0.501,0.6856666666666666,0.99,0.211,0.211,37.4,14.1,25.3,0.931,33.9,32.0,1.0,0.0,1.0,7.8,16.0,0.0,1.0,0.0,2.0,0.7667,1795.0,0.0,1362.0,1.0,18.65753424657534,0.5845195729537367,0.40213523131672596,0.7546296296296297,0.5722222222222222,0.22876447876447875,0.2957559681697613,0.29577464788732394,0.2357142857142857,0.6580381471389646,0.29533678756476683,0.21553398058252426,0.279045643153527,40.145588292482884,0.24900763806137796,0.5517865181732281,0.9625668449197861,0.12420382165605096,0.8383630232637351
Juju Smith-Schuster,2017,73.25,215.0,10.5,32.88,4.54,1.55,32.5,120.0,6.93,5.01,15.0,28.169460331512308,101.21503838570821,42.5,11.94,8,0,0,0,0,62.0,0,4.127134385045092,2.0,20.109514031485283,1,0.3591984463276836,0.2787069132741273,0.1579822321523566,0.3850635593220339,0.2543835235179515,3092.0,1454.0,213.0,14.51643192488263,75.0,0.11737089201877934,34.0,3.0,2.0,1.0,1.0,1.0,0.12072468112177068,0.6286107290233838,17.0,18.89390828199863,0.3591984463276836,0.3591984463276836,19.89596167008898,1.0,0.773,0.663,0.718,0.786,0.132,0.103,38.6,16.8,23.3,0.812,39.2,10.0,1.0,0.0,1.0,7.9,29.0,1.0,1.0,0.0,5.0,0.9904,21.0,1.0,185.0,0.0,11.5625,0.5409252669039146,0.8416370106761566,0.9842592592592593,0.8240740740740741,0.37065637065637064,0.39389920424403185,0.1579476861167002,0.29183673469387755,0.6253405994550408,0.0025906735751295338,0.6456310679611651,0.16701244813278007,48.71508663123751,0.36513849625724765,0.626801571588487,0.7272727272727273,0.9554140127388535,-0.22814128546612622
James Washington,2018,71.0,213.0,9.75,32.375,4.54,1.53,34.5,120.0,7.11,4.32,14.0,29.704225352112676,100.27350314491093,44.5,11.43,8,0,0,0,0,60.0,0,4.0943445622221,2.0,21.749486652977414,1,0.335766065830721,0.3287691724141616,0.2302986746001236,0.3267045454545454,0.3061869934769717,4472.0,1549.0,226.0,19.787610619469028,91.0,0.17256637168141592,70.0,4.0,4.0,2.0,1.0,1.0,0.098470497814038,1.122463768115942,18.0,18.535249828884325,0.2302986746001236,0.2612409372374521,21.53593429158111,0.0,0.858,0.858,0.6405,0.881,0.126,0.112,42.2,19.1,23.0,0.88,42.2,45.0,1.0,0.0,1.0,10.0,37.0,1.0,1.0,0.0,3.0,0.8588,692.0,0.0,83.0,0.0,16.6,0.21263345195729538,0.8033807829181495,0.7546296296296297,0.6888888888888889,0.37065637065637064,0.616710875331565,0.35714285714285715,0.29183673469387755,0.2779291553133515,0.37823834196891193,0.612621359223301,0.3537344398340249,47.653357396318526,0.4205336503533452,0.5033237069046678,0.6488413547237076,0.386411889596603,0.26242946512710463
Christian Kirk,2018,70.38,201.0,9.88,30.38,4.47,1.5,35.5,115.0,7.09,4.45,20.0,28.526786871512513,100.6922303260915,45.083333333333336,11.54,8,0,0,0,0,47.0,0,3.8501476017100584,2.0,21.11978097193703,1,0.3679647052274118,0.3679647052274118,0.2918206439963888,0.3036412879927776,0.2813839559093692,2856.0,1009.0,234.0,12.205128205128204,81.0,0.1111111111111111,120.0,3.0,3.0,2.0,1.0,1.0,0.07614406123102302,0.910802775024777,18.0,18.90485968514716,0.2918206439963888,0.3198854386493819,20.906228610540726,1.0,0.531,0.531,0.40666666666666673,0.531,0.132,0.115,31.9,14.1,18.8,0.809,33.1,5.0,1.0,0.0,1.0,7.8,17.0,0.0,1.0,0.0,5.0,0.9891,25.0,1.0,1862.0,7.0,21.15909090909091,0.15569395017793594,0.49377224199288255,0.825925925925926,0.15925925925925927,0.6023166023166023,0.8793103448275862,0.48893360160965793,0.09489795918367347,0.30381471389645776,0.14248704663212436,0.629126213592233,0.41804979253112035,43.279897099545494,0.4043192581285215,0.40745318424319477,0.7540106951871658,0.9447983014861996,-0.1907876062990338
Alec Pierce,2022,75.13,211.0,9.0,33.0,4.41,1.58,40.5,129.0,7.13,4.28,,26.279131168869384,111.57273858441638,51.25,11.41,7,1,1,0,1,53.0,0,3.970291913552122,2.0,21.66735112936345,1,0.2520975224558286,0.2520975224558286,0.1803745256558323,0.2617708024874148,0.2617708024874148,1851.0,884.0,106.0,17.462264150943398,53.0,0.12264150943396226,0.0,3.0,1.0,0.0,1.0,1.0,0.0717229967999963,1.3558282208588956,19.0,21.453798767967147,0.1803745256558323,0.1803745256558323,21.453798767967147,1.0,1.513,0.666,0.9979999999999999,1.513,0.092,0.092,37.5,21.2,15.9,,37.5,40.0,0.0,1.0,1.0,8.6,30.0,1.0,0.0,0.0,3.0,0.8466,1164.0,0.0,,,,0.8398576512455516,0.7588967971530249,0.20185185185185187,0.850925925925926,0.8175675675675675,0.17904509283819628,0.9275653923541247,0.8428571428571429,0.2561307901907357,0.47020725388601037,0.916504854368932,0.9221991701244814,66.53007908636287,0.8956424631934,0.7050502053443635,0.29411764705882354,0.24628450106157113,0.04783314599725241
Justin Jefferson,2020,73.25,202.0,9.13,33.0,4.43,1.54,37.5,126.0,,,,26.466190637048772,104.89781939490844,48.0,,5,1,1,0,0,22.0,0,3.091042453358316,1.0,20.54483230663929,1,0.3236086353733413,0.2753630287592798,0.3236086353733413,0.2942760942760943,0.2556440903054449,2414.0,1540.0,165.0,14.63030303030303,71.0,0.14545454545454545,26.0,2.0,2.0,1.0,1.0,2.0,-0.048245606614061465,1.7620137299771168,19.0,19.33196440793977,0.3236086353733413,0.3236086353733413,20.331279945242983,1.0,1.008,1.008,0.48900000000000005,1.008,0.12,0.12,48.9,33.1,17.7,,48.9,15.0,1.0,0.0,1.0,10.8,60.0,1.0,1.0,0.0,3.0,0.7983,2174.0,0.0,1.0,0.0,0.5,0.5409252669039146,0.5231316725978647,0.31574074074074077,0.850925925925926,0.7451737451737451,0.4946949602122016,0.7354124748490946,0.713265306122449,,,0.7757281553398059,0.7375518672199171,64.3255011508566,0.7414686454371164,0.6107511021049189,0.5775401069518716,0.08492569002123142,0.49261441693064023
Courtland Sutton,2018,75.38,218.0,9.75,32.375,4.54,1.5,35.5,124.0,6.57,4.11,18.0,26.971155467291542,102.62734124690414,45.833333333333336,10.68,8,0,0,1,1,40.0,0,3.6888794541139363,2.0,22.22861054072553,1,0.4239267676767677,0.3133328350958484,0.0066699604743083,0.3933080808080808,0.283808527334554,3220.0,1246.0,195.0,16.512820512820515,88.0,0.15897435897435896,2.0,4.0,3.0,3.0,1.0,2.0,0.3066628746215401,0.8707865168539326,18.0,20.01368925393566,0.0066699604743083,0.401345922057051,22.015058179329227,0.0,1.208,0.506,0.833,1.208,0.131,0.129,24.3,-10.8,32.6,0.91,35.4,81.0,0.0,1.0,1.0,6.9,19.0,0.0,1.0,0.0,,,,,-8.0,0.0,-8.0,0.8629893238434164,0.8825622775800712,0.7546296296296297,0.6888888888888889,0.37065637065637064,0.8793103448275862,0.48893360160965793,0.573469387755102,0.989100817438692,0.8937823834196891,0.6922330097087379,0.4979253112033195,71.45401122134301,0.5848786663578326,0.6988603609928983,0.8859180035650623,,
Rashod Bateman,2021,72.38,190.0,9.5,33.0,4.43,,36.0,123.0,6.95,4.35,,25.49598344251858,98.66626576748813,46.25,11.3,7,1,0,0,0,27.0,0,3.295836866004329,1.0,21.09240246406571,1,0.3625089388046981,0.3121541299446608,0.2796978629329403,0.3701791679319769,0.3385939741750359,2395.0,1219.0,147.0,16.292517006802722,86.0,0.1292517006802721,0.0,3.0,3.0,2.0,1.0,1.0,0.0324562670117205,0.38720262510254305,18.0,18.87748117727584,0.2796978629329403,0.3625089388046981,20.878850102669404,1.0,1.111,0.671,0.7143333333333333,1.111,0.147,0.147,39.8,19.4,19.6,,35.8,38.0,1.0,0.0,1.0,10.2,30.0,0.0,0.0,0.0,4.0,0.8914,367.0,1.0,,,,0.40569395017793597,0.2526690391459075,0.5944444444444444,0.850925925925926,0.7451737451737451,,0.5543259557344065,0.48775510204081635,0.5858310626702997,0.29533678756476683,0.5436893203883495,0.5435684647302904,53.26739816360807,0.5285901260545242,0.6013475690706782,0.7344028520499108,0.5201698513800425,0.2142330006698684
Breshad Perriman,2015,74.0,212.0,9.25,32.0,4.52,,36.5,127.0,,,18.0,27.216216216216218,101.58091427189677,47.083333333333336,,6,0,0,0,1,26.0,0,3.258096538021482,1.0,21.308692676249144,1,0.3662961752206604,0.3662961752206604,0.1150027141952411,0.3412880026152337,0.3412880026152337,2243.0,1044.0,115.0,19.504347826086956,91.0,0.1391304347826087,0.0,3.0,1.0,1.0,1.0,1.0,0.2512934610254193,1.287299630086313,18.0,21.09514031485284,0.1150027141952411,0.1876851637845901,21.09514031485284,1.0,1.164,0.898,1.031,1.164,0.09,0.09,25.8,5.7,19.7,0.936,25.8,79.0,0.0,1.0,1.0,7.5,23.0,0.0,0.0,0.0,2.0,0.7722,1749.0,0.0,,,,0.6708185053380783,0.7820284697508897,0.40555555555555556,0.5722222222222222,0.4372586872586873,,0.6247484909456741,0.763265306122449,,,0.6572815533980583,0.6566390041493776,61.886864386011034,0.6817651168220604,0.5683361935153826,0.750445632798574,0.13800424628450106,0.612441386514073
Zay Jones,2017,73.88,201.0,9.0,32.5,4.45,1.51,36.5,133.0,6.79,4.01,15.0,25.887946886462462,102.51466790929572,47.583333333333336,10.8,8,1,0,1,0,37.0,0,3.6109179126442243,2.0,21.760438056125942,1,0.3703293954669642,0.3703293954669642,0.1422374811589348,0.4329664832416208,0.4329664832416208,4264.0,1731.0,397.0,10.740554156171285,77.0,0.05793450881612091,18.0,4.0,2.0,1.0,1.0,1.0,0.2280919143080294,1.5750682438580528,18.0,20.54483230663929,0.1422374811589348,0.166477632851853,21.54688569472964,0.0,0.523,0.523,0.523,0.535,0.229,0.229,27.2,-9.0,35.1,0.92,27.2,93.0,0.0,1.0,1.0,7.5,16.0,0.0,1.0,0.0,3.0,0.8186,1463.0,0.0,604.0,0.0,19.483870967741936,0.6379003558718861,0.49377224199288255,0.20185185185185187,0.7324074074074074,0.668918918918919,0.8143236074270557,0.6247484909456741,0.9418367346938775,0.840599455040872,0.977979274611399,0.6873786407766991,0.7012448132780082,69.35801494013776,0.7513212888054168,0.5492270265192049,0.7629233511586453,0.18259023354564755,0.5803331176129978
Nelson Agholor,2015,72.13,198.0,9.25,32.25,4.42,1.59,36.5,125.0,6.83,4.34,12.0,26.753995574905975,103.75430091812777,46.916666666666664,11.17,8,1,0,1,0,20.0,0,2.995732273553991,1.0,21.607118412046542,1,0.3241003032237472,0.3241003032237472,0.0719625515265842,0.3405082987551867,0.3405082987551867,2571.0,1313.0,179.0,14.363128491620111,87.0,0.11173184357541899,18.0,3.0,2.0,1.0,1.0,1.0,0.252137751697163,1.4302832244008714,19.0,20.39425051334702,0.0719625515265842,0.2943396226415094,21.39356605065024,1.0,1.307,0.758,1.0325,1.369,0.136,0.136,38.8,17.1,22.5,0.888,38.8,13.0,1.0,0.0,1.0,8.5,39.0,1.0,1.0,0.0,5.0,0.9854,30.0,1.0,983.0,4.0,15.603174603174603,0.37455516014234874,0.4225978647686833,0.40555555555555556,0.6638888888888889,0.7847490347490348,0.11671087533156499,0.6247484909456741,0.6551020408163265,0.7888283378746594,0.31994818652849744,0.7398058252427184,0.6358921161825726,54.43651980855439,0.6732187856682397,0.5171870238831169,0.5793226381461676,0.9331210191082803,-0.3537983809621127
