Player,Year,height,weight,hand,arm,forty,ten_split,vertical,broad,cone,shuttle,bench,bmi,speed_score,burst_score,agility_score,n_drills,elite_forty,elite_burst,elite_agility,big_bodied,pick,undrafted,log_pick,round,nfl_entry_age,has_college,best_dom,final_dom,first_dom,best_ydshare,final_ydshare,career_yds,best_yds,career_rec,career_ypr,best_long,td_rate,rush_yds_career,n_seasons,n_seasons_20,n_seasons_30,alpha,final_rank,dom_growth,final_spike,college_entry_age,breakout_age,dom_age19,dom_age20,age_final_season,early_declare,best_ppa,final_ppa,avg_ppa,best_ppa_pass,best_usage,final_usage,team_sp_off,team_sp_overall,team_sp_def,team_sos,team_sp_off_final,team_recruit_rank,power5,conf_g5,n_teams,col_qb_ypa,col_qb_td,col_qb_drafted,was_returner,transferred,recruit_stars,recruit_rating,recruit_rank,blue_chip,ret_yds,ret_td,ret_avg,height_p,weight_p,hand_p,arm_p,forty_p,ten_split_p,vertical_p,broad_p,cone_p,shuttle_p,speed_score_p,burst_score_p,ras,explosion_p,catch_radius,prod_p,recruit_p,prod_over_recruit
Aaron Burbridge,2016,72.0,206.0,8.25,31.63,4.56,1.57,30.5,115.0,7.22,4.31,20.0,27.935570987654323,95.28791963926494,40.083333333333336,11.53,8,0,0,0,0,213.0,0,5.3612921657094255,6.0,22.023271731690624,1,0.3264421610716213,0.3264421610716213,0.1825396825396825,0.3836535529124733,0.3836535529124733,2174.0,1258.0,165.0,13.175757575757576,56.0,0.06060606060606061,149.0,4.0,1.0,1.0,1.0,1.0,0.14390247853193877,3.456043956043956,18.0,21.809719370294317,0.1825396825396825,0.1825396825396825,21.809719370294317,0.0,0.64,0.64,0.5103333333333334,0.738,0.15,0.15,35.7,15.6,20.6,0.832,35.7,26.0,1.0,0.0,1.0,7.7,24.0,1.0,1.0,0.0,4.0,0.959,88.0,1.0,-11.0,0.0,-11.0,0.34341637010676157,0.6548042704626335,0.011111111111111112,0.4601851851851852,0.29633204633204635,0.22546419098143236,0.05331991951710262,0.09489795918367347,0.1444141689373297,0.4067357512953368,0.4077669902912621,0.0487551867219917,26.22669291771555,0.1853282896640127,0.2170081464800401,0.5989304812834224,0.7951167728237792,-0.19618629154035683
Dazz Newsome,2021,70.13,190.0,9.0,29.875,4.59,,34.0,121.0,7.39,4.39,12.0,27.158216629282865,85.61164746595347,44.083333333333336,11.78,8,0,0,0,0,221.0,0,5.3981627015177525,6.0,21.634496919917865,1,0.2651803704010378,0.1918005897695596,0.0419593345656192,0.2739504843918192,0.1900527924423451,2435.0,1018.0,188.0,12.952127659574469,75.0,0.09574468085106383,178.0,4.0,1.0,0.0,0.0,2.0,0.1498412552039404,0.6719056974459725,18.0,20.418891170431213,0.1633283171605002,0.2651803704010378,21.420944558521562,0.0,0.861,0.792,0.6475,0.892,0.11,0.08,35.1,10.3,24.6,,43.7,20.0,1.0,0.0,1.0,8.6,38.0,1.0,1.0,0.0,3.0,0.843,1085.0,0.0,679.0,1.0,12.125,0.13256227758007116,0.2526690391459075,0.20185185185185187,0.07592592592592592,0.20077220077220076,,0.29577464788732394,0.35612244897959183,0.035422343324250684,0.22150259067357514,0.11844660194174757,0.2966804979253112,19.88845841825234,0.2567812329362211,0.17652867581129322,0.34581105169340465,0.26963906581740976,0.07617198587599489
Kalija Lipscomb,2020,71.88,207.0,9.38,32.88,4.57,1.53,32.0,127.0,,,16.0,28.16498560483388,94.91515053022638,42.583333333333336,,6,0,0,0,0,270.0,1,5.598421958998375,8.0,22.236824093086927,1,0.3289453366275479,0.2737887596899224,0.1752704031465093,0.2828906732550957,0.2475775193798449,2356.0,916.0,198.0,11.8989898989899,68.0,0.1111111111111111,149.0,4.0,3.0,1.0,1.0,1.0,0.0985183565434131,0.5578602620087336,18.0,20.024640657084188,0.1752704031465093,0.2524929993284424,22.023271731690624,0.0,0.59,0.435,0.4025,0.614,0.155,0.106,35.6,7.6,27.1,0.812,21.8,65.0,1.0,0.0,1.0,7.7,24.0,0.0,1.0,0.0,3.0,0.8436,1028.0,0.0,281.0,0.0,10.407407407407407,0.3185053380782918,0.6797153024911032,0.5064814814814815,0.8240740740740741,0.2606177606177606,0.616710875331565,0.12173038229376258,0.763265306122449,,,0.3825242718446602,0.17531120331950206,46.4893599565465,0.4225066534202906,0.44269781898190247,0.6096256684491979,0.28662420382165604,0.3230014646275418
Cam Phillips,2018,72.13,201.0,8.88,30.5,4.79,,29.5,113.0,7.19,4.45,12.0,27.15935914422273,76.36317893741872,38.916666666666664,11.64,8,0,0,0,0,270.0,1,5.598421958998375,8.0,22.04517453798768,1,0.3215012313952243,0.3215012313952243,0.166840061679083,0.3096691294571153,0.3096691294571153,3027.0,983.0,236.0,12.826271186440678,60.0,0.07203389830508475,239.0,4.0,2.0,1.0,1.0,1.0,0.1546611697161413,0.9806714140386572,18.0,20.83230663928816,0.166840061679083,0.166840061679083,21.831622176591377,0.0,0.695,0.54,0.59275,0.773,0.119,0.119,34.5,15.2,19.6,0.858,27.8,29.0,1.0,0.0,1.0,8.4,29.0,0.0,1.0,1.0,3.0,0.8783,430.0,0.0,34.0,0.0,6.8,0.37455516014234874,0.49377224199288255,0.12685185185185185,0.18055555555555555,0.011583011583011582,,0.025150905432595575,0.04897959183673469,0.1880108991825613,0.14248704663212436,0.021359223300970873,0.023858921161825725,14.883312806113299,0.031829906856767044,0.17677836824558793,0.5721925133689839,0.4830148619957537,0.0891776513732302
Rannell Hall,2015,72.38,198.0,8.63,30.5,4.6,1.61,41.0,132.0,6.86,4.15,16.0,26.569498534835148,88.44308017767236,52.0,11.010000000000002,8,0,1,1,0,270.0,1,5.598421958998375,8.0,21.919233401779604,1,0.217159035992688,0.0817260542661,0.0061019382627422,0.2420103796776836,0.1634521085322,2051.0,886.0,145.0,14.144827586206896,73.0,0.06206896551724138,264.0,4.0,1.0,0.0,1.0,4.0,0.07562411600335779,0.5643340857787811,18.0,20.706365503080082,0.0061019382627422,0.1713335745951325,21.7056810403833,0.0,0.724,0.233,0.4785,0.86,0.133,0.133,38.4,12.3,27.4,0.92,25.8,96.0,0.0,1.0,1.0,9.4,25.0,1.0,1.0,0.0,2.0,0.7593,2070.0,0.0,2083.0,0.0,25.402439024390244,0.40569395017793597,0.4225978647686833,0.05740740740740741,0.18055555555555555,0.17277992277992277,0.05702917771883289,0.9456740442655935,0.9193877551020408,0.7397820163487738,0.7992227979274611,0.18349514563106797,0.9512448132780082,48.623920424677365,0.6828523149995674,0.3973327393516231,0.19429590017825313,0.09129511677282377,0.10300078340542936
Hunter Sharp,2016,71.5,198.0,9.38,31.63,4.58,1.56,32.5,116.0,7.1,4.19,12.0,27.227541689080148,89.99808611706392,42.166666666666664,11.29,8,0,0,0,0,270.0,1,5.598421958998375,8.0,21.686516084873375,1,0.3705357142857143,0.3705357142857143,0.343763479511143,0.3375269590222861,0.3125,1774.0,939.0,137.0,12.94890510948905,81.0,0.11678832116788321,48.0,2.0,2.0,2.0,1.0,1.0,0.026772234774571302,0.8892438764643238,20.0,20.473648186173854,0.0,0.343763479511143,21.472963723477072,1.0,0.505,0.498,0.5015000000000001,0.571,0.149,0.149,25.2,6.0,18.6,0.955,24.1,109.0,0.0,1.0,1.0,8.4,8.0,0.0,1.0,0.0,2.0,0.7,3534.0,0.0,458.0,1.0,19.91304347826087,0.2722419928825623,0.4225978647686833,0.5064814814814815,0.4601851851851852,0.22876447876447875,0.2957559681697613,0.1579476861167002,0.12346938775510204,0.28610354223433243,0.7202072538860104,0.229126213592233,0.13796680497925312,32.00706549846487,0.17018109582134508,0.34921408641648227,0.7647058823529411,0.006369426751592357,0.7583364556013488
Tyrie Cleveland,2020,74.0,205.0,9.13,32.88,4.46,1.53,39.5,126.0,,,13.0,26.31756756756757,103.62019896840454,50.0,,6,0,1,0,0,252.0,0,5.529429087511423,7.0,22.28062970568104,1,0.2037974683544303,0.0600364256374486,0.1086749851455733,0.2075949367088607,0.089769820971867,1271.0,410.0,79.0,16.088607594936708,98.0,0.10126582278481013,6.0,4.0,1.0,0.0,1.0,5.0,-0.04863855950812471,0.8560975609756097,18.0,20.0684462696783,0.1086749851455733,0.2037974683544303,22.067077344284737,0.0,0.913,0.577,0.67675,0.936,0.058,0.042,30.8,10.1,22.4,0.818,37.8,12.0,1.0,0.0,1.0,6.3,9.0,0.0,1.0,0.0,4.0,0.981,34.0,1.0,242.0,1.0,22.0,0.6708185053380783,0.6192170818505338,0.31574074074074077,0.8240740740740741,0.6361003861003861,0.616710875331565,0.8832997987927566,0.713265306122449,,,0.7300970873786408,0.8672199170124482,68.76543772741674,0.7755540640979488,0.6734832797364124,0.14795008912655971,0.9267515923566879,-0.7788015032301282
D'Wayne Eskridge,2021,68.75,190.0,9.0,30.125,4.4,,35.0,124.0,6.95,4.27,,28.25943801652893,101.38480978075265,45.333333333333336,11.219999999999999,7,1,0,0,0,56.0,0,4.02535169073515,2.0,,1,0.4475743348982786,0.4475743348982786,0.032275772156893,0.4507042253521127,0.4507042253521127,2244.0,776.0,121.0,18.545454545454547,85.0,0.12396694214876033,106.0,5.0,2.0,1.0,1.0,1.0,0.4152985627413856,0.9896907216494846,,,,,,,1.321,0.858,0.7000000000000001,1.321,0.139,0.139,29.8,-10.7,37.4,0.944,31.6,89.0,0.0,1.0,1.0,8.2,16.0,0.0,1.0,0.0,3.0,0.8253,1528.0,0.0,467.0,1.0,27.470588235294116,0.0498220640569395,0.2526690391459075,0.20185185185185187,0.10462962962962963,0.8445945945945946,,0.42655935613682094,0.573469387755102,0.5858310626702997,0.5051813471502591,0.6495145631067961,0.43983402489626555,42.1268810999497,0.5498477689995731,0.1957157254188105,0.9162210338680927,0.16772823779193205,0.7484927960761607
Cade Johnson,2021,70.63,184.0,9.375,29.25,4.51,,35.0,114.0,,,11.0,25.929535417062866,88.94911904239109,44.5,,6,0,0,0,0,270.0,1,5.598421958998375,8.0,22.729637234770706,1,0.233160621761658,0.233160621761658,0.233160621761658,0.466321243523316,0.466321243523316,90.0,90.0,6.0,15.0,19.0,0.0,25.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,21.51403148528405,0.0,0.0,21.51403148528405,1.0,0.589,0.589,0.589,0.456,0.183,0.183,,,,,,237.0,0.0,1.0,1.0,7.4,1.0,0.0,1.0,1.0,,,,0.0,23.0,0.0,11.5,0.17704626334519574,0.14590747330960854,0.47129629629629627,0.032407407407407406,0.46621621621621623,,0.42655935613682094,0.07142857142857142,,,0.1970873786407767,0.3537344398340249,26.01870447349909,0.23169176873538966,0.27682733079643007,0.24420677361853832,,
Fred Ross,2017,72.63,213.0,9.25,31.25,4.51,1.54,35.0,113.0,6.99,4.28,10.0,28.38591122028026,102.9682736740723,44.416666666666664,11.27,8,0,0,0,0,270.0,1,5.598421958998375,8.0,21.623545516769337,1,0.4181951577402788,0.4181951577402788,0.0180931403398363,0.3363903154805576,0.3363903154805576,2528.0,1007.0,199.0,12.703517587939698,69.0,0.11055276381909548,87.0,4.0,1.0,1.0,1.0,1.0,0.40010201740044254,0.9106256206554121,18.0,21.409993155373034,0.1476498201009556,0.1977885985399315,21.409993155373034,0.0,1.095,0.618,0.78375,1.095,0.129,0.121,40.2,15.1,23.8,0.811,34.5,36.0,1.0,0.0,1.0,8.0,29.0,1.0,1.0,0.0,4.0,0.9216,196.0,1.0,315.0,1.0,8.076923076923077,0.42704626334519574,0.8033807829181495,0.40555555555555556,0.34074074074074073,0.46621621621621623,0.4946949602122016,0.42655935613682094,0.04897959183673469,0.5,0.47020725388601037,0.7087378640776699,0.34024896265560167,45.26972956317414,0.3947589373504085,0.3999754789445783,0.8734402852049911,0.6549893842887473,0.21845090091624375
