Player,Year,win3_full,win5_full,played3,best3,top23,top33,total3,games3,seasons3,played5,best5,top25,top35,total5,games5,seasons5
Deon Cain,2018,1,1,1,1.9454545454545453,1.9454545454545453,1.9454545454545453,21.4,11,1,1,1.9454545454545453,1.9454545454545453,1.9454545454545453,21.4,11,1
Dax Milne,2021,1,1,1,2.242857142857143,1.976984126984127,1.976984126984127,31.1,16,2,1,2.242857142857143,1.976984126984127,1.976984126984127,31.1,16,2
Donovan Peoples-Jones,2020,1,1,1,9.829411764705881,9.13393665158371,8.870243482008187,335.2,37,3,1,9.829411764705881,9.13393665158371,8.870243482008187,363.7,49,4
Devin Duvernay,2020,1,1,1,8.292857142857143,6.719761904761905,5.744126984126985,246.4,43,3,1,8.292857142857143,6.719761904761905,5.744126984126985,272.90000000000003,59,5
Makai Polk,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Rico Bussey,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Devante Davis,2015,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Geremy Davis,2015,1,1,1,0.0,0.0,0.0,4.1,6,3,1,0.0,0.0,0.0,10.899999999999999,8,4
Johnny Johnson II,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Dezmin Lewis,2015,1,1,1,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1
Nyqwan Murray,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
T.J. Vasher,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Samori Toure,2022,1,0,1,4.8,3.5125,3.5125,38.3,13,3,1,4.8,3.5125,3.5125,38.3,13,3
Victor Bolden,2017,1,1,1,0.0,0.0,0.0,2.0,1,1,1,0.0,0.0,0.0,2.0,1,1
Tavares Martin,2018,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Mecole Hardman,2019,1,1,1,8.288235294117648,8.260784313725491,8.217606209150327,394.5,48,3,1,11.725,10.006617647058825,9.415522875816995,516.0,63,5
Ben Skowronek,2021,1,1,1,6.021428571428571,4.746428571428572,3.960582010582011,130.1,30,3,1,6.021428571428571,4.746428571428572,4.155952380952381,158.9,50,5
Rodney Adams,2017,1,1,1,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,1,1
Henry Ruggs,2020,1,1,1,12.071428571428571,9.270329670329671,9.270329670329671,168.60000000000002,20,2,1,12.071428571428571,9.270329670329671,9.270329670329671,168.60000000000002,20,2
Darren Carrington,2018,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Braxton Berrios,2018,1,1,1,8.073333333333332,7.7789743589743585,6.158205128205128,235.89999999999998,34,3,1,8.073333333333332,7.7789743589743585,6.6705982905982895,351.47999999999996,62,5
Jester Weah,2018,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Tanner Conner,2022,1,0,1,2.2625,2.2625,2.2625,22.700000000000003,12,3,1,2.2625,2.2625,2.2625,22.700000000000003,12,3
Dai'Jean Dixon,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Simi Fehoko,2021,1,1,1,3.3200000000000003,3.3200000000000003,3.3200000000000003,29.900000000000002,8,3,1,3.3200000000000003,1.6600000000000001,1.6600000000000001,29.900000000000002,15,4
Shi Smith,2021,1,1,1,4.1066666666666665,3.663333333333333,3.663333333333333,77.7,20,2,1,4.1066666666666665,3.663333333333333,3.663333333333333,77.7,20,2
Noah Brown,2017,1,1,1,3.3111111111111113,2.695555555555556,2.1446560846560847,47.5,21,3,1,7.633333333333334,5.727777777777778,4.9222222222222225,196.4,45,5
DaVaris Daniels,2015,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Trevor Davis,2016,1,1,1,4.342857142857143,3.5964285714285715,3.1365079365079365,55.10000000000001,17,3,1,4.342857142857143,3.5964285714285715,3.1365079365079365,55.10000000000001,17,3
ArDarius Stewart,2017,1,1,1,1.8777777777777775,1.8777777777777775,1.8777777777777775,16.9,9,1,1,1.8777777777777775,1.8777777777777775,1.8777777777777775,16.9,9,1
