key,Year,Player,draft_pick,college,nfl_team,athlete_id,src_draft,src_combine,src_proday,drafted
johnny wilson,2024,Johnny Wilson,185.0,Florida St.,PHI,4686104.0,1,1,1,True
jonathan mingo,2023,Jonathan Mingo,39.0,Mississippi,CAR,4426485.0,1,1,1,True
jordan addison,2023,Jordan Addison,23.0,USC,MIN,4429205.0,1,1,1,True
jordan watkins,2025,Jordan Watkins,138.0,Mississippi,SFO,4431466.0,1,1,1,True
jordan whittington,2024,Jordan Whittington,213.0,Texas,LAR,4569382.0,1,1,1,True
joseph ngata,2023,Joseph Ngata,,Clemson,,4426426.0,0,1,1,False
josh downs,2023,Josh Downs,79.0,North Carolina,IND,4688813.0,1,1,1,True
josh kelly,2025,Josh Kelly,,Texas Tech,,4575558.0,0,1,1,False
joshua lane,2025,Joshua Lane,128.0,Virginia Tech,,,0,1,0,False
julian fleming,2024,Julian Fleming,,Penn State,,4430800.0,0,0,1,False
junior bergen,2024,Junior Bergen,,Montana,,4887918.0,0,0,1,False
junior bergen,2025,Junior Bergen,252.0,Montana,SFO,,1,0,0,True
justin shorter,2023,Justin Shorter,150.0,Florida,BUF,4361426.0,1,1,1,True
kaden prather,2025,Kaden Prather,240.0,Maryland,BUF,4431509.0,1,1,1,True
kayshon boutte,2023,Kayshon Boutte,187.0,LSU,NWE,4429022.0,1,1,1,True
keandre lambertsmith,2025,KeAndre Lambert-Smith,158.0,Auburn,LAC,4430870.0,1,1,1,True
kearis jackson,2023,Kearis Jackson,,Georgia,,4361778.0,0,1,1,False
keon coleman,2024,Keon Coleman,33.0,Florida St.,BUF,4635008.0,1,1,1,True
kobe hudson,2025,Kobe Hudson,,Central Florida,,4429056.0,0,1,1,False
konata mumpfield,2025,Konata Mumpfield,242.0,Pittsburgh,LAR,4710855.0,1,1,1,True
kyle williams,2025,Kyle Williams,69.0,Washington St.,NWE,4613202.0,1,1,1,True
kyren lacy,2024,Kyren Lacy,,LSU,,4431219.0,0,0,1,False
ladd mcconkey,2024,Ladd McConkey,34.0,Georgia,LAC,4612826.0,1,1,1,True
lajohntay wester,2025,LaJohntay Wester,203.0,Colorado,BAL,4690143.0,1,1,1,True
lideatrick griffin,2024,Lideatrick Griffin,,Mississippi St.,,4429153.0,0,1,1,False
luke mccaffrey,2024,Luke McCaffrey,100.0,Rice,WAS,4426948.0,1,1,1,True
luther burden,2025,Luther Burden,39.0,Missouri,CHI,4685278.0,1,1,1,True
malachi corley,2024,Malachi Corley,65.0,Western Kentucky,NYJ,4613104.0,1,1,1,True
malik heath,2023,Malik Heath,,Mississippi,,4689334.0,0,1,1,False
malik knowles,2023,Malik Knowles,,Kansas St.,,4373077.0,0,1,1,False
malik nabers,2024,Malik Nabers,6.0,LSU,NYG,4595348.0,1,1,1,True
malik washington,2024,Malik Washington,184.0,Virginia,MIA,4569603.0,1,1,1,True
marcus rosemyjacksaint,2024,Marcus Rosemy-Jacksaint,,Georgia,,4695252.0,0,1,1,False
marvin harrison,2024,Marvin Harrison Jr.,4.0,Ohio St.,ARI,4432708.0,1,1,1,True
marvin mims,2023,Marvin Mims,63.0,Oklahoma,DEN,4686472.0,1,1,1,True
matt landers,2023,Matt Landers,,Arkansas,,4259550.0,0,1,1,False
matthew golden,2025,Matthew Golden,23.0,Texas,GNB,4701936.0,1,1,1,True
michael jefferson,2023,Michael Jefferson,,Louisiana,,4366535.0,0,1,1,False
michael wilson,2023,Michael Wilson,94.0,Stanford,ARI,4360761.0,1,1,1,True
mitchell tinsley,2023,Mitchell Tinsley,,Penn St.,,4690070.0,0,1,1,False
nathaniel dell,2023,Nathaniel Dell,69.0,Houston,,4366031.0,0,1,1,False
nick nash,2025,Nick Nash,,San Jose St.,,4570242.0,0,1,1,False
parker washington,2023,Parker Washington,185.0,Penn St.,JAX,4432620.0,1,1,1,True
pat bryant,2025,Pat Bryant,74.0,Illinois,DEN,4600981.0,1,1,1,True
